buy_date,sell_date,code,name,buy_price,sell_price,shares,pnl,pnl_pct,holding_days
20260402,20260407,301306,西测测试,154.8,140.0,100,-1480.0,-9.56,2
20260402,20260408,002580,圣阳股份,17.08,15.68,100,-140.0,-8.2,3
20260403,20260408,002460,赣锋锂业,79.75,82.01,100,226.0,2.83,2
20260402,20260409,600066,宇通客车,38.25,37.58,100,-67.0,-1.75,4
20260407,20260410,002309,中利集团,5.23,4.4,100,-83.0,-15.87,3
20260407,20260410,002788,鹭燕医药,19.44,15.27,100,-417.0,-21.45,3
20260402,20260413,300342,天银机电,56.0,53.89,100,-211.0,-3.77,6
20260407,20260413,601872,招商轮船,20.26,18.22,100,-204.0,-10.07,4
20260409,20260413,000720,新能泰山,6.03,5.37,100,-66.0,-10.95,2
20260408,20260414,600487,亨通光电,58.56,52.67,100,-589.0,-10.06,4
20260402,20260415,601869,长飞光纤,332.49,358.61,100,2612.0,7.86,8
20260409,20260416,603778,国晟科技,32.84,26.4,100,-644.0,-19.61,5
20260414,20260416,600482,中国动力,38.68,39.0,100,32.0,0.83,2
20260414,20260416,002263,大东南,4.94,5.17,100,23.0,4.66,2
20260403,20260417,300620,光库科技,222.96,251.83,100,2887.0,12.95,9
20260403,20260417,600110,诺德股份,8.75,9.99,100,124.0,14.17,9
20260408,20260417,002222,福晶科技,81.09,90.68,100,959.0,11.83,7
20260415,20260417,300166,东方国信,16.56,16.66,100,10.0,0.6,2
20260416,20260420,000967,盈峰环境,13.07,14.1,100,103.0,7.88,2
20260416,20260420,002025,航天电器,76.3,80.46,100,416.0,5.45,2
20260415,20260422,600176,中国巨石,31.1,32.25,100,115.0,3.7,5
20260420,20260423,600666,奥瑞德,7.16,6.56,100,-60.0,-8.38,3
20260413,20260424,002428,云南锗业,55.13,77.12,100,2199.0,39.89,9
20260416,20260424,002342,巨力索具,18.51,19.05,100,54.0,2.92,6
20260420,20260424,300390,天华新能,86.61,91.0,100,439.0,5.07,4
20260413,20260427,300782,卓胜微,102.05,106.58,100,453.0,4.44,10
20260421,20260427,000657,中钨高新,57.81,53.83,100,-398.0,-6.88,4
20260415,20260428,300548,长芯博创,236.8,246.96,100,1016.0,4.29,9
20260417,20260428,002361,神剑股份,18.75,20.02,100,127.0,6.77,7
20260420,20260428,300058,蓝色光标,19.53,16.69,100,-284.0,-14.54,6
20260422,20260428,002149,西部材料,64.1,56.6,100,-750.0,-11.7,4
20260427,20260429,600986,浙文互联,11.43,10.73,100,-70.0,-6.12,2
20260410,20260430,600105,永鼎股份,38.1,42.41,100,431.0,11.31,14
20260417,20260430,002384,东山精密,162.1,186.73,100,2463.0,15.19,9
20260424,20260430,002463,沪电股份,102.38,102.57,100,19.0,0.19,4
20260428,20260430,600487,亨通光电,68.29,65.7,100,-259.0,-3.79,2
20260428,20260430,002436,兴森科技,27.88,27.71,100,-17.0,-0.61,2
20260424,20260506,601138,工业富联,65.01,63.08,100,-193.0,-2.97,5
20260428,20260506,002008,大族激光,105.22,102.19,100,-303.0,-2.88,3
20260427,20260508,600330,天通股份,27.42,29.16,100,174.0,6.35,6
20260506,20260508,301511,德福科技,90.24,94.6,100,436.0,4.83,2
20260427,20260511,603538,美诺华,56.4,57.33,100,93.0,1.65,7
20260429,20260511,600338,西藏珠峰,27.61,24.14,100,-347.0,-12.57,5
20260506,20260511,600150,中国船舶,41.18,41.18,100,0.0,0.0,3
20260420,20260512,002466,天齐锂业,66.82,74.75,100,793.0,11.87,13
20260428,20260512,300390,天华新能,92.99,101.74,100,875.0,9.41,7
20260506,20260512,002709,天赐材料,64.0,58.59,100,-541.0,-8.45,4
