code,name,list_date,delist_date,source
000001,平安银行,19910403,,sz_current
000002,万  科Ａ,19910129,,sz_current
000004,*ST国华,19901201,,sz_current
000006,深振业Ａ,19920427,,sz_current
000007,全新好,19920413,,sz_current
000008,神州高铁,19920507,,sz_current
000009,中国宝安,19910625,,sz_current
000010,*ST美丽,19951027,,sz_current
000011,深物业A,19920330,,sz_current
000012,南  玻Ａ,19920228,,sz_current
000014,沙河股份,19920602,,sz_current
000016,*ST康佳A,19920327,,sz_current
000017,深中华A,19920331,,sz_current
000019,深粮控股,19921012,,sz_current
000020,深华发Ａ,19920428,,sz_current
000021,深科技,19940202,,sz_current
000025,特  力Ａ,19930621,,sz_current
000026,飞亚达,19930603,,sz_current
000027,深圳能源,19930903,,sz_current
000028,国药一致,19930809,,sz_current
000029,深深房Ａ,19930915,,sz_current
000030,富奥股份,19930929,,sz_current
000031,大悦城,19931008,,sz_current
000032,深桑达Ａ,19931028,,sz_current
000034,神州数码,19940509,,sz_current
000035,中国天楹,19940408,,sz_current
000036,华联控股,19940617,,sz_current
000037,深南电A,19940701,,sz_current
000039,中集集团,19940408,,sz_current
000042,中洲控股,19940921,,sz_current
000045,深纺织Ａ,19940815,,sz_current
000048,京基智农,19941101,,sz_current
000049,德赛电池,19950320,,sz_current
000050,深天马Ａ,19950315,,sz_current
000055,方大集团,19960415,,sz_current
000056,*ST皇庭,19960708,,sz_current
000058,深 赛 格,19961226,,sz_current
000059,华锦股份,19970130,,sz_current
000060,中金岭南,19970123,,sz_current
000061,农 产 品,19970110,,sz_current
000062,深圳华强,19970130,,sz_current
000063,中兴通讯,19971118,,sz_current
000065,北方国际,19980605,,sz_current
000066,中国长城,19970626,,sz_current
000068,华控赛格,19970611,,sz_current
000069,华侨城Ａ,19970910,,sz_current
000070,特发信息,20000511,,sz_current
000078,ST海王,19981218,,sz_current
000088,盐 田 港,19970728,,sz_current
000089,深圳机场,19980420,,sz_current
000090,天健集团,19990721,,sz_current
000096,广聚能源,20000724,,sz_current
000099,中信海直,20000731,,sz_current
000100,TCL科技,20040130,,sz_current
000151,中成股份,20000906,,sz_current
000153,丰原药业,20000920,,sz_current
000155,川能动力,20000926,,sz_current
000156,华数传媒,20000906,,sz_current
000157,中联重科,20001012,,sz_current
000158,常山北明,20000724,,sz_current
000159,国际实业,20000926,,sz_current
000166,申万宏源,20150126,,sz_current
000301,东方盛虹,20000529,,sz_current
000333,美的集团,20130918,,sz_current
000338,潍柴动力,20070430,,sz_current
000400,许继电气,19970418,,sz_current
000401,金隅冀东,19960614,,sz_current
000402,金 融 街,19960626,,sz_current
000403,派林生物,19960628,,sz_current
000404,长虹华意,19960619,,sz_current
000407,胜利股份,19960703,,sz_current
000408,藏格矿业,19960628,,sz_current
000409,云鼎科技,19960627,,sz_current
000410,沈阳机床,19960718,,sz_current
000411,英特集团,19960716,,sz_current
000415,渤海租赁,19960716,,sz_current
000417,合百集团,19960812,,sz_current
000419,通程控股,19960816,,sz_current
000420,吉林化纤,19960802,,sz_current
000421,南京公用,19960806,,sz_current
000422,湖北宜化,19960815,,sz_current
000423,东阿阿胶,19960729,,sz_current
000425,徐工机械,19960828,,sz_current
000426,兴业银锡,19960828,,sz_current
000428,华天酒店,19960808,,sz_current
000429,粤高速Ａ,19980220,,sz_current
000430,张家界,19960829,,sz_current
000488,ST晨鸣,20001120,,sz_current
000498,山东路桥,19970609,,sz_current
000501,武商集团,19921120,,sz_current
000503,国新健康,19921130,,sz_current
000504,南华生物,19921208,,sz_current
000505,京粮控股,19921221,,sz_current
000506,招金黄金,19930312,,sz_current
000507,珠海港,19930326,,sz_current
000509,华塑控股,19930507,,sz_current
000510,新金路,19930507,,sz_current
000513,丽珠集团,19931028,,sz_current
000514,渝 开 发,19930712,,sz_current
000516,国际医学,19930809,,sz_current
000517,荣安地产,19930806,,sz_current
000518,四环生物,19930908,,sz_current
000519,中兵红箭,19931008,,sz_current
000520,凤凰航运,19931025,,sz_current
000521,长虹美菱,19931018,,sz_current
000523,红棉股份,19931108,,sz_current
000524,岭南控股,19931118,,sz_current
000525,红太阳,19931028,,sz_current
000526,学大教育,19931101,,sz_current
000528,柳    工,19931118,,sz_current
000529,广弘控股,19931118,,sz_current
000530,冰山冷热,19931208,,sz_current
000531,穗恒运Ａ,19940106,,sz_current
000532,华金资本,19940103,,sz_current
000533,顺钠股份,19940103,,sz_current
000534,万泽股份,19940110,,sz_current
000536,华映科技,19931126,,sz_current
000537,绿发电力,19931210,,sz_current
000538,云南白药,19931215,,sz_current
000539,粤电力Ａ,19931126,,sz_current
000541,佛山照明,19931123,,sz_current
000543,皖能电力,19931220,,sz_current
000544,中原环保,19931208,,sz_current
000545,金浦钛业,19931215,,sz_current
000546,金圆股份,19931215,,sz_current
000547,航天发展,19931130,,sz_current
000548,湖南投资,19931220,,sz_current
000550,江铃汽车,19931201,,sz_current
000551,创元科技,19940106,,sz_current
000552,甘肃能化,19940106,,sz_current
000553,安道麦A,19931203,,sz_current
000554,泰山石油,19931215,,sz_current
000555,神州信息,19940408,,sz_current
000557,西部创业,19940617,,sz_current
000558,天府文旅,19940509,,sz_current
000559,万向钱潮,19940110,,sz_current
000560,我爱我家,19940202,,sz_current
000561,烽火电子,19940509,,sz_current
000563,陕国投Ａ,19940110,,sz_current
000564,供销大集,19940110,,sz_current
000565,渝三峡Ａ,19940408,,sz_current
000566,海南海药,19940525,,sz_current
000567,海德股份,19940525,,sz_current
000568,泸州老窖,19940509,,sz_current
000570,苏常柴Ａ,19940701,,sz_current
000571,新大洲A,19940525,,sz_current
000572,海马汽车,19940808,,sz_current
000573,粤宏远Ａ,19940815,,sz_current
000576,甘化科工,19940907,,sz_current
000581,威孚高科,19980924,,sz_current
000582,北部湾港,19951102,,sz_current
000586,汇源通信,19951220,,sz_current
000589,贵州轮胎,19960308,,sz_current
000590,古汉医药,19960119,,sz_current
000591,太阳能,19960208,,sz_current
000592,平潭发展,19960327,,sz_current
000593,德龙汇能,19960312,,sz_current
000595,*ST宝实,19960419,,sz_current
000596,古井贡酒,19960927,,sz_current
000597,东北制药,19960523,,sz_current
000598,兴蓉环境,19960529,,sz_current
000599,青岛双星,19960430,,sz_current
000600,建投能源,19960606,,sz_current
000601,韶能股份,19960830,,sz_current
000603,盛达资源,19960823,,sz_current
000605,渤海股份,19960913,,sz_current
000607,华媒控股,19960830,,sz_current
000608,阳光股份,19960919,,sz_current
000609,*ST中迪,19961010,,sz_current
000610,*ST西旅,19960926,,sz_current
000612,焦作万方,19960926,,sz_current
000615,*ST美谷,19961016,,sz_current
000617,中油资本,19961022,,sz_current
000619,海螺新材,19961023,,sz_current
000620,盈新发展,19961029,,sz_current
000623,吉林敖东,19961028,,sz_current
000625,长安汽车,19970610,,sz_current
000626,远大控股,19961128,,sz_current
000628,高新发展,19961118,,sz_current
000629,钒钛股份,19961115,,sz_current
000630,铜陵有色,19961120,,sz_current
000631,顺发恒能,19961122,,sz_current
000632,ST三木,19961121,,sz_current
000633,合金投资,19961112,,sz_current
000635,英 力 特,19961120,,sz_current
000636,风华高科,19961129,,sz_current
000637,茂化实华,19961114,,sz_current
000638,*ST万方,19961126,20260603,sz_delisted
000639,ST西王,19961126,,sz_current
000650,仁和药业,19961210,,sz_current
000651,格力电器,19961118,,sz_current
000652,泰达股份,19961128,,sz_current
000655,金岭矿业,19961128,,sz_current
000656,*ST金科,19961128,,sz_current
000657,中钨高新,19961205,,sz_current
000659,珠海中富,19961203,,sz_current
000661,长春高新,19961218,,sz_current
000663,永安林业,19961206,,sz_current
000665,湖北广电,19961210,,sz_current
000668,荣丰控股,19961210,,sz_current
000669,ST金鸿,19961210,,sz_current
000670,盈方微,19961217,,sz_current
000672,上峰材料,19961218,,sz_current
000676,智度股份,19961224,,sz_current
000677,ST海龙,19961226,,sz_current
000678,襄阳轴承,19970106,,sz_current
000679,大连友谊,19970124,,sz_current
000680,山推股份,19970122,,sz_current
000681,视觉中国,19970121,,sz_current
000682,东方电子,19970121,,sz_current
000683,博源化工,19970131,,sz_current
000685,中山公用,19970123,,sz_current
000686,东北证券,19970227,,sz_current
000688,国城矿业,19970120,,sz_current
000690,宝新能源,19970128,,sz_current
000691,亚太实业,19970228,,sz_current
000692,惠天热电,19970227,,sz_current
000695,滨海能源,19970218,,sz_current
000697,炼石航空,19970325,,sz_current
000698,ST沈化,19970220,,sz_current
000700,模塑科技,19970228,,sz_current
000701,厦门信达,19970226,,sz_current
000702,正虹科技,19970318,,sz_current
000703,恒逸石化,19970328,,sz_current
000705,浙江震元,19970410,,sz_current
000707,双环科技,19970415,,sz_current
000708,中信特钢,19970326,,sz_current
000709,河钢股份,19970416,,sz_current
000710,贝瑞基因,19970422,,sz_current
000711,ST京蓝,19970411,,sz_current
000712,锦龙股份,19970415,,sz_current
000713,国投丰乐,19970422,,sz_current
000715,中兴商业,19970508,,sz_current
000716,黑芝麻,19970418,,sz_current
000717,中南股份,19970508,,sz_current
000718,苏宁环球,19970408,,sz_current
000719,中原传媒,19970331,,sz_current
000720,新能泰山,19970509,,sz_current
000721,西安饮食,19970430,,sz_current
000722,湖南发展,19970522,,sz_current
000723,美锦能源,19970515,,sz_current
000725,京东方Ａ,20010112,,sz_current
000726,鲁  泰Ａ,20001225,,sz_current
000727,冠捷科技,19970520,,sz_current
000728,国元证券,19970616,,sz_current
000729,燕京啤酒,19970716,,sz_current
000731,四川美丰,19970617,,sz_current
000733,振华科技,19970703,,sz_current
000735,罗 牛 山,19970611,,sz_current
000736,中交发展,19970425,,sz_current
000737,北方铜业,19970428,,sz_current
000738,航发控制,19970626,,sz_current
000739,普洛药业,19970509,,sz_current
000750,国海证券,19970709,,sz_current
000751,锌业股份,19970626,,sz_current
000752,*ST西发,19970625,,sz_current
000753,漳州发展,19970626,,sz_current
000755,山西高速,19970627,,sz_current
000756,新华制药,19970806,,sz_current
000757,浩物股份,19970627,,sz_current
000758,中色股份,19970416,,sz_current
000759,中百集团,19970519,,sz_current
000761,本钢板材,19980115,,sz_current
000762,西藏矿业,19970708,,sz_current
000766,通化金马,19970430,,sz_current
000767,晋控电力,19970609,,sz_current
000768,中航西飞,19970626,,sz_current
000776,广发证券,19970611,,sz_current
000777,中核科技,19970710,,sz_current
000778,新兴铸管,19970606,,sz_current
000779,甘咨询,19970528,,sz_current
000782,恒申新材,19970619,,sz_current
000783,长江证券,19970731,,sz_current
000785,居然智家,19970711,,sz_current
000786,北新建材,19970606,,sz_current
000788,北大医药,19970616,,sz_current
000789,万年青,19970923,,sz_current
000790,华神科技,19980327,,sz_current
000791,甘肃能源,19971014,,sz_current
000792,盐湖股份,19970904,,sz_current
000793,*ST华闻,19970729,,sz_current
000795,英洛华,19970808,,sz_current
000796,凯撒旅业,19970703,,sz_current
000797,中国武夷,19970715,,sz_current
000798,中水渔业,19980212,,sz_current
000799,酒鬼酒,19970718,,sz_current
000800,一汽解放,19970618,,sz_current
000801,四川九洲,19980506,,sz_current
000802,北京文化,19980108,,sz_current
