date,stock_count,new_stock_count,removed_stock_count
20260401,4570,1,0
20260402,4570,0,0
20260403,4571,0,0
20260407,4570,0,0
20260408,4575,1,0
20260409,4576,0,0
20260410,4578,1,0
20260413,4577,0,0
20260414,4580,0,0
20260415,4579,0,0
20260416,4582,2,0
20260417,4582,1,0
20260420,4579,0,0
20260421,4581,1,0
20260422,4580,0,0
20260423,4578,0,0
20260424,4577,0,0
20260427,4575,0,1
20260428,4569,0,0
20260429,4544,0,0
20260430,4546,1,3
20260506,4571,0,0
20260507,4573,0,0
20260508,4572,0,0
20260511,4573,2,0
20260512,4571,0,0
20260513,4575,0,0
20260514,4575,0,0
20260515,4575,1,0
20260518,4578,1,0
20260519,4572,0,0
20260520,4576,0,0
20260521,4579,0,0
20260522,4581,2,0
20260525,4581,0,0
20260526,4581,0,0
20260527,4580,0,1
20260528,4580,0,0
20260529,4579,0,0
20260601,4581,0,0
20260602,4580,0,0
20260603,4584,0,0
20260604,4584,0,0
20260605,4586,0,0
20260608,4587,0,0
20260609,4589,1,1
20260610,4586,0,0
20260611,4583,0,0
20260612,4585,0,1
20260615,4580,0,2
20260616,4585,0,2
20260617,4582,0,0
20260618,4580,0,2
20260622,4583,0,4583
