date,code,name,momentum_score,trend_score,combined_score,reason,close,pct_chg,amount,turnover,ma5,ma10,ma20,pct_5d,pct_10d,pct_20d,distance_to_20d_high,rank
20260623,600522,中天科技,89.57,92.37,91.25,游资:成交98.9/加速91.6/新高94.8/波换67.4; 机构:均线91.7/回撤94.8/持续95.7/稳定86.4,61.73,3.52,19967570899.0,0.09,57.39,54.09,48.6,20.21,24.63,43.93,0.0,1
20260623,301013,利和兴,83.08,94.66,90.03,游资:成交74.0/加速74.3/新高94.8/波换98.0; 机构:均线90.3/回撤94.8/持续95.7/稳定100.0,70.32,3.59,4136703396.0,0.31,66.47,62.27,56.13,20.62,38.4,63.42,0.0,2
20260623,601869,长飞光纤,89.57,89.33,89.47,游资:成交95.8/加速95.1/新高94.8/波换66.7; 机构:均线94.0/回撤94.8/持续86.5/稳定76.9,570.58,10.0,12928875317.0,0.06,497.09,475.18,440.92,26.71,29.59,47.81,0.0,3
20260623,603773,沃格光电,89.34,88.81,89.13,游资:成交82.0/加速95.3/新高94.8/波换86.0; 机构:均线92.9/回撤94.8/持续92.9/稳定69.6,172.15,0.08,5265505671.0,0.14,165.21,153.77,134.5,25.38,26.12,106.86,0.0,4
20260623,688498,源杰科技,85.34,91.39,88.97,游资:成交92.2/加速93.3/新高84.2/波换64.3; 机构:均线94.2/回撤84.2/持续95.7/稳定93.7,1818.3,-2.95,9763937319.0,0.04,1717.21,1582.79,1401.89,24.13,30.82,67.72,3.04,5
20260623,600703,三安光电,92.61,83.26,88.87,游资:成交93.2/加速98.5/新高94.8/波换80.7; 机构:均线83.4/回撤94.8/持续82.2/稳定66.7,19.83,2.8,11005976587.0,0.11,18.13,16.8,16.46,29.52,20.55,22.94,0.0,6
20260623,300179,四方达,93.11,81.14,88.32,游资:成交88.1/加速98.7/新高88.8/波换96.5; 机构:均线90.1/回撤88.8/持续82.2/稳定55.2,56.99,-0.85,7240613568.0,0.33,50.38,46.3,45.66,32.81,26.64,53.16,0.86,7
20260623,688347,华虹宏力,84.39,90.58,88.1,游资:成交88.3/加速84.9/新高94.8/波换67.3; 机构:均线87.0/回撤94.8/持续89.6/稳定90.6,292.08,4.31,7322917425.0,0.06,269.82,247.63,238.41,22.58,36.61,35.98,0.0,8
20260623,300223,北京君正,86.65,88.16,87.56,游资:成交92.0/加速81.0/新高94.8/波换78.9; 机构:均线86.2/回撤94.8/持续95.7/稳定73.6,194.0,0.65,9549010359.0,0.12,181.3,167.07,158.46,18.08,29.97,36.7,0.0,9
20260623,600460,士兰微,89.98,83.87,87.54,游资:成交91.1/加速94.3/新高94.8/波换77.0; 机构:均线93.8/回撤94.8/持续92.9/稳定43.5,47.04,5.0,8666760434.0,0.11,42.56,38.17,36.31,32.99,46.41,37.58,0.0,10
20260623,688143,长盈通,80.16,92.29,87.44,游资:成交57.9/加速91.1/新高94.8/波换82.5; 机构:均线93.3/回撤94.8/持续86.5/稳定92.7,226.0,3.67,2668012626.0,0.09,200.97,192.81,174.91,18.18,21.64,58.72,0.0,11
20260623,600707,彩虹股份,89.36,83.66,87.08,游资:成交79.7/加速99.4/新高94.8/波换83.4; 机构:均线84.2/回撤94.8/持续82.2/稳定67.5,13.64,10.0,4874317549.0,0.1,12.38,11.66,11.29,30.28,15.99,17.59,0.0,12
20260623,600487,亨通光电,87.5,86.15,86.96,游资:成交99.4/加速89.6/新高85.5/波换68.5; 机构:均线88.1/回撤85.5/持续92.9/稳定77.3,117.31,-2.35,21913201658.0,0.08,113.39,107.75,95.14,18.16,22.88,59.8,2.4,13
20260623,600105,永鼎股份,86.21,86.24,86.23,游资:成交91.6/加速91.4/新高87.2/波换69.5; 机构:均线76.3/回撤87.2/持续89.6/稳定96.4,62.49,-1.9,8952161427.0,0.1,62.06,57.66,53.86,16.74,17.91,32.39,1.94,14
20260623,603663,三祥新材,84.13,87.56,86.19,游资:成交80.2/加速85.1/新高94.8/波换78.0; 机构:均线97.2/回撤94.8/持续99.0/稳定50.7,101.07,5.02,4943636314.0,0.11,89.46,81.43,72.21,33.97,59.29,81.98,0.0,15
20260623,300373,扬杰科技,84.57,86.52,85.74,游资:成交81.6/加速88.3/新高94.8/波换73.1; 机构:均线88.0/回撤94.8/持续89.6/稳定68.8,132.96,3.79,5252175212.0,0.07,121.42,111.74,107.81,26.45,40.76,39.61,0.0,16
20260623,600552,凯盛科技,87.79,81.81,85.4,游资:成交78.4/加速97.7/新高89.4/波换85.3; 机构:均线85.5/回撤89.4/持续86.5/稳定60.0,25.61,-0.16,4721637178.0,0.19,24.13,22.41,20.95,25.05,16.15,27.86,0.16,17
20260623,600176,中国巨石,76.79,90.11,84.78,游资:成交96.3/加速51.9/新高94.8/波换66.9; 机构:均线95.9/回撤94.8/持续97.2/稳定67.2,58.93,0.94,14052166616.0,0.06,55.01,48.2,43.72,28.75,65.72,49.49,0.0,18
20260623,300346,南大光电,87.35,80.93,84.78,游资:成交89.3/加速82.5/新高94.8/波换84.3; 机构:均线83.3/回撤94.8/持续92.9/稳定44.6,71.43,0.89,7730622416.0,0.16,67.15,64.79,59.47,15.9,24.9,17.1,0.0,19
20260623,002281,光迅科技,82.52,85.84,84.51,游资:成交94.6/加速83.8/新高83.4/波换61.6; 机构:均线82.8/回撤83.4/持续89.6/稳定90.3,266.9,-3.33,11756854368.0,0.06,256.24,232.98,222.83,18.37,28.94,19.16,3.44,20
20260623,000070,特发信息,85.16,83.01,84.3,游资:成交68.8/加速97.4/新高94.8/波换81.7; 机构:均线95.1/回撤94.8/持续86.5/稳定43.6,25.08,10.0,3424210714.0,0.16,21.75,20.01,19.02,33.33,35.86,36.9,0.0,21
20260623,688082,盛美上海,67.68,95.14,84.16,游资:成交70.4/加速50.5/新高94.8/波换62.2; 机构:均线97.6/回撤94.8/持续99.0/稳定88.1,399.81,6.29,3597322200.0,0.02,363.38,324.94,284.03,26.92,62.79,59.29,0.0,22
20260623,002747,埃斯顿,86.97,79.88,84.13,游资:成交80.3/加速93.5/新高94.8/波换79.2; 机构:均线81.8/回撤94.8/持续82.2/稳定52.3,38.25,2.85,4997602449.0,0.17,35.8,35.11,32.15,15.11,12.1,33.69,0.0,23
20260623,600909,华安证券,83.35,84.07,83.78,游资:成交82.9/加速90.1/新高94.8/波换62.4; 机构:均线95.5/回撤94.8/持续95.7/稳定39.3,10.46,9.87,5432529180.0,0.1,9.23,8.32,7.83,31.41,48.79,42.51,0.0,24
20260623,688396,华润微,78.28,86.99,83.51,游资:成交79.0/加速79.7/新高94.8/波换58.5; 机构:均线79.7/回撤94.8/持续89.6/稳定83.6,80.8,3.32,4797585452.0,0.04,75.62,70.23,68.65,17.36,29.11,22.05,0.0,25
20260623,300835,龙磁科技,80.89,85.06,83.39,游资:成交58.1/加速85.7/新高94.8/波换94.0; 机构:均线86.7/回撤94.8/持续76.1/稳定76.9,234.31,20.0,2668092392.0,0.14,206.36,199.57,191.77,18.94,28.98,37.67,0.0,26
20260623,600498,烽火通信,78.27,86.08,82.96,游资:成交94.2/加速53.2/新高94.8/波换75.5; 机构:均线96.3/回撤94.8/持续97.2/稳定46.6,82.75,0.23,11425398280.0,0.11,78.26,69.78,60.77,22.0,51.83,50.67,0.0,27
20260623,300433,蓝思科技,79.18,85.45,82.94,游资:成交92.7/加速82.0/新高81.0/波换52.9; 机构:均线81.2/回撤81.0/持续89.6/稳定94.4,53.32,-0.91,10301230239.0,0.04,52.49,47.91,44.9,15.96,25.05,34.92,4.59,28
20260623,002428,云南锗业,77.24,86.32,82.69,游资:成交97.1/加速38.0/新高94.8/波换88.8; 机构:均线86.8/回撤94.8/持续95.7/稳定63.5,111.9,1.29,14739372013.0,0.2,104.66,97.02,91.31,10.26,42.29,25.17,0.0,29
20260623,000811,冰轮环境,83.74,80.92,82.61,游资:成交76.0/加速88.0/新高94.8/波换78.0; 机构:均线95.3/回撤94.8/持续86.5/稳定32.9,44.97,1.77,4419304483.0,0.1,39.81,35.86,33.93,32.85,53.9,30.35,0.0,30
