rank,code,name,close,ma5,ma10,ma20,pct_chg,pct_5d,pct_10d,pct_20d,amount,distance_to_20d_high,ma_score,trend_raw,trend_score_part,high_raw,high_score,liquidity_raw,liquidity_score,risk_penalty,risk_score,risk_reasons,today_score,today_rule,sum_before_cap,calc_score,file_score,is_capped_100
1,300308,中际旭创,1382.33,1303.88,1227.44,1199.89,1.06,20.31,17.15,33.18,38643675146.0,0.0,20.0,29.49,25.0,15.0,15.0,257.62,20.0,0.0,10.0,?,10.0,1<=pct_chg<=5,100.0,100.0,100.0,True
2,600105,永鼎股份,63.7,60.26,56.71,53.09,2.54,24.17,14.94,34.64,9269708509.0,0.0,20.0,30.93,25.0,15.0,15.0,61.8,20.0,0.0,10.0,?,10.0,1<=pct_chg<=5,100.0,100.0,100.0,True
3,600259,中稀有色,118.66,109.34,100.04,93.56,2.05,26.31,26.34,36.28,4785450935.0,0.0,20.0,37.71,25.0,15.0,15.0,31.9,20.0,0.0,10.0,?,10.0,1<=pct_chg<=5,100.0,100.0,100.0,True
4,603256,宏和科技,263.01,251.99,227.26,209.05,2.02,26.51,34.15,65.03,4695723943.0,0.0,20.0,51.38,25.0,15.0,15.0,31.3,20.0,0.0,10.0,?,10.0,1<=pct_chg<=5,100.0,100.0,100.0,True
5,002203,海亮股份,26.3,24.86,22.52,21.25,3.06,12.2,38.13,22.78,3570514822.0,0.0,20.0,31.23,25.0,15.0,15.0,23.8,20.0,0.0,10.0,?,10.0,1<=pct_chg<=5,100.0,100.0,100.0,True
6,603738,XD泰晶科,61.7,58.42,52.29,48.87,4.59,19.25,38.68,22.81,3348295509.0,0.0,20.0,35.01,25.0,15.0,15.0,22.32,20.0,0.0,10.0,?,10.0,1<=pct_chg<=5,100.0,100.0,100.0,True
7,300661,圣邦股份,136.81,129.09,118.1,115.87,3.04,22.77,26.98,23.24,3127218267.0,0.0,20.0,31.66,25.0,15.0,15.0,20.85,20.0,0.0,10.0,?,10.0,1<=pct_chg<=5,100.0,100.0,100.0,True
8,688072,拓荆科技,748.01,709.5,663.14,653.51,1.91,15.94,28.46,21.24,6135858660.0,0.27,20.0,28.21,25.0,14.59,14.59,40.91,20.0,0.0,10.0,?,10.0,1<=pct_chg<=5,99.59,99.59,99.6,False
9,000630,铜陵有色,7.93,7.67,7.04,6.91,3.66,11.69,22.19,24.69,6525203125.0,0.0,20.0,24.47,24.47,15.0,15.0,43.5,20.0,0.0,10.0,?,10.0,1<=pct_chg<=5,99.47,99.47,99.47,False
10,002747,埃斯顿,37.19,34.8,34.7,31.67,1.89,15.43,19.89,27.93,5063448918.0,0.91,20.0,26.44,25.0,13.63,13.63,33.76,20.0,0.0,10.0,?,10.0,1<=pct_chg<=5,98.63,98.63,98.63,False
11,688808,联讯仪器,2484.0,2305.96,2257.3,2063.66,4.68,19.48,15.8,41.54,2702550841.0,0.0,20.0,31.39,25.0,15.0,15.0,18.02,18.02,0.0,10.0,?,10.0,1<=pct_chg<=5,98.02,98.02,98.02,False
12,688507,索辰科技,262.88,252.65,242.24,210.17,3.29,6.13,37.31,61.37,2609433974.0,0.0,20.0,41.33,25.0,15.0,15.0,17.4,17.4,0.0,10.0,?,10.0,1<=pct_chg<=5,97.4,97.4,97.4,False
13,600522,中天科技,59.63,55.32,52.87,47.66,5.45,22.7,29.43,36.08,17763185299.0,0.0,20.0,37.22,25.0,15.0,15.0,118.42,20.0,0.0,10.0,?,7.0,5<pct_chg<=8,97.0,97.0,97.0,False
14,688525,佰维存储,406.31,368.59,340.58,328.85,5.21,23.91,30.65,30.12,17090297175.0,0.0,20.0,36.29,25.0,15.0,15.0,113.94,20.0,0.0,10.0,?,7.0,5<pct_chg<=8,97.0,97.0,97.0,False
15,000021,深科技,46.68,42.77,40.15,40.08,5.99,25.86,22.42,23.72,8791270832.0,0.0,20.0,31.32,25.0,15.0,15.0,58.61,20.0,0.0,10.0,?,7.0,5<pct_chg<=8,97.0,97.0,97.0,False
16,688146,中船特气,389.99,347.0,318.18,247.87,7.14,29.14,68.75,198.34,6728036479.0,0.0,20.0,114.93,25.0,15.0,15.0,44.85,20.0,0.0,10.0,?,7.0,5<pct_chg<=8,97.0,97.0,97.0,False
17,600378,昊华科技,70.22,62.69,59.56,50.29,7.77,22.87,50.69,92.54,6683696448.0,0.0,20.0,66.63,25.0,15.0,15.0,44.56,20.0,0.0,10.0,?,7.0,5<pct_chg<=8,97.0,97.0,97.0,False
18,000831,中国稀土,66.3,61.33,57.78,54.5,7.11,18.31,22.05,28.71,6368713996.0,0.0,20.0,29.13,25.0,15.0,15.0,42.46,20.0,0.0,10.0,?,7.0,5<pct_chg<=8,97.0,97.0,97.0,False
19,300398,飞凯材料,48.88,46.1,44.25,41.51,6.03,21.65,18.55,28.7,4523627461.0,0.0,20.0,29.22,25.0,15.0,15.0,30.16,20.0,0.0,10.0,?,7.0,5<pct_chg<=8,97.0,97.0,97.0,False
20,688396,华润微,78.2,73.23,68.41,67.92,6.26,28.62,17.45,25.32,3983299894.0,0.0,20.0,31.02,25.0,15.0,15.0,26.56,20.0,0.0,10.0,?,7.0,5<pct_chg<=8,97.0,97.0,97.0,False
21,002171,楚江新材,16.43,14.98,14.08,13.11,6.83,20.9,27.86,43.87,3698202530.0,0.0,20.0,38.34,25.0,15.0,15.0,24.65,20.0,0.0,10.0,?,7.0,5<pct_chg<=8,97.0,97.0,97.0,False
22,600641,先导基电,36.01,33.29,30.3,28.61,7.65,26.44,40.12,28.93,3486372231.0,0.0,20.0,41.4,25.0,15.0,15.0,23.24,20.0,0.0,10.0,?,7.0,5<pct_chg<=8,97.0,97.0,97.0,False
23,603688,石英股份,86.1,80.57,76.59,72.26,6.89,21.46,23.9,15.49,3455429301.0,0.0,20.0,26.91,25.0,15.0,15.0,23.04,20.0,0.0,10.0,?,7.0,5<pct_chg<=8,97.0,97.0,97.0,False
24,600909,华安证券,9.52,8.73,7.98,7.67,6.13,29.52,30.77,30.05,3010571679.0,0.0,20.0,39.12,25.0,15.0,15.0,20.07,20.0,0.0,10.0,?,7.0,5<pct_chg<=8,97.0,97.0,97.0,False
25,002353,杰瑞股份,173.66,160.58,153.63,149.22,5.75,19.85,14.72,30.33,2942967335.0,0.0,20.0,27.16,25.0,15.0,15.0,19.62,19.62,0.0,10.0,?,7.0,5<pct_chg<=8,96.62,96.62,96.62,False
26,002281,光迅科技,276.08,247.95,226.99,220.69,3.71,34.69,21.31,27.89,18498454863.0,0.0,20.0,36.7,25.0,15.0,15.0,123.32,20.0,4.0,6.0,pct_5d>30?4,10.0,1<=pct_chg<=5,96.0,96.0,96.0,False
27,600183,生益科技,184.5,178.87,162.38,148.78,0.34,21.96,34.32,70.82,17421782487.0,0.0,20.0,51.21,25.0,15.0,15.0,116.15,20.0,0.0,10.0,?,6.0,0<pct_chg<1,96.0,96.0,96.0,False
28,300223,北京君正,192.75,175.36,162.6,155.85,3.6,32.38,38.31,39.27,10182897904.0,0.0,20.0,47.17,25.0,15.0,15.0,67.89,20.0,4.0,6.0,pct_5d>30?4,10.0,1<=pct_chg<=5,96.0,96.0,96.0,False
29,002916,深南电路,457.34,431.82,406.34,400.79,0.78,20.51,22.61,20.9,7929264093.0,0.0,20.0,27.74,25.0,15.0,15.0,52.86,20.0,0.0,10.0,?,6.0,0<pct_chg<1,96.0,96.0,96.0,False
30,688347,华虹宏力,280.0,259.06,239.8,234.54,0.79,28.22,23.35,56.42,7087314404.0,0.0,20.0,44.36,25.0,15.0,15.0,47.25,20.0,0.0,10.0,?,6.0,0<pct_chg<1,96.0,96.0,96.0,False
31,603773,沃格光电,172.02,158.24,150.2,130.05,4.44,32.53,29.92,115.03,5291078356.0,0.0,20.0,69.99,25.0,15.0,15.0,35.27,20.0,4.0,6.0,pct_5d>30?4,10.0,1<=pct_chg<=5,96.0,96.0,96.0,False
32,300373,扬杰科技,128.11,115.86,107.89,105.92,4.04,32.51,24.54,48.31,5119291340.0,0.0,20.0,44.21,25.0,15.0,15.0,34.13,20.0,4.0,6.0,pct_5d>30?4,10.0,1<=pct_chg<=5,96.0,96.0,96.0,False
33,002138,顺络电子,73.44,66.74,62.07,55.46,3.2,30.77,32.06,69.61,4243384972.0,0.0,20.0,54.18,25.0,15.0,15.0,28.29,20.0,4.0,6.0,pct_5d>30?4,10.0,1<=pct_chg<=5,96.0,96.0,96.0,False
34,300747,锐科激光,55.05,54.32,50.37,45.96,1.85,14.78,18.82,40.79,2602802144.0,1.11,20.0,30.14,25.0,13.34,13.34,17.35,17.35,0.0,10.0,?,10.0,1<=pct_chg<=5,95.69,95.69,95.69,False
35,688126,沪硅产业,33.9,32.15,31.37,29.46,5.28,14.57,18.99,21.9,8436291630.0,0.0,20.0,23.5,23.5,15.0,15.0,56.24,20.0,0.0,10.0,?,7.0,5<pct_chg<=8,95.5,95.5,95.49,False
36,603650,彤程新材,69.16,65.8,62.05,58.6,4.82,16.37,26.16,17.54,2275259816.0,0.0,20.0,26.1,25.0,15.0,15.0,15.17,15.17,0.0,10.0,?,10.0,1<=pct_chg<=5,95.17,95.17,95.17,False
37,301511,德福科技,164.12,163.7,148.73,133.76,2.0,18.7,37.34,51.26,6841672196.0,3.36,20.0,44.09,25.0,9.96,9.96,45.61,20.0,0.0,10.0,?,10.0,1<=pct_chg<=5,94.96,94.96,94.96,False
