date,stock_code,action,position_ratio,score,cycle,reason
20260625,600105,SKIP,0.0,86.17,退潮期,market_cycle=退潮；cycle进入退潮
20260625,688313,SKIP,0.0,86.1,退潮期,market_cycle=退潮；cycle进入退潮
20260625,600522,SKIP,0.0,86.04,退潮期,market_cycle=退潮；cycle进入退潮
20260625,300398,SKIP,0.0,86.0,退潮期,market_cycle=退潮；cycle进入退潮
20260625,001309,SKIP,0.0,85.73,退潮期,market_cycle=退潮；cycle进入退潮
20260625,300223,SKIP,0.0,85.63,退潮期,market_cycle=退潮；cycle进入退潮
20260625,000021,SKIP,0.0,85.46,退潮期,market_cycle=退潮；cycle进入退潮
20260625,300346,SKIP,0.0,85.33,退潮期,market_cycle=退潮；cycle进入退潮
20260625,603986,SKIP,0.0,85.08,退潮期,market_cycle=退潮；cycle进入退潮
20260625,301308,SKIP,0.0,84.91,退潮期,market_cycle=退潮；cycle进入退潮
20260625,688525,SKIP,0.0,84.75,退潮期,market_cycle=退潮；cycle进入退潮
20260625,300567,SKIP,0.0,84.69,退潮期,market_cycle=退潮；cycle进入退潮
20260625,301013,SKIP,0.0,84.6,退潮期,market_cycle=退潮；cycle进入退潮
20260625,603083,SKIP,0.0,84.24,退潮期,market_cycle=退潮；cycle进入退潮
20260625,688396,SKIP,0.0,84.15,退潮期,market_cycle=退潮；cycle进入退潮
20260625,688507,SKIP,0.0,84.14,退潮期,market_cycle=退潮；cycle进入退潮
20260625,300373,SKIP,0.0,83.78,退潮期,market_cycle=退潮；cycle进入退潮
20260625,688347,SKIP,0.0,83.77,退潮期,market_cycle=退潮；cycle进入退潮
20260625,300604,SKIP,0.0,83.73,退潮期,market_cycle=退潮；cycle进入退潮
20260625,600246,SKIP,0.0,83.54,退潮期,market_cycle=退潮；cycle进入退潮
20260625,600552,SKIP,0.0,82.99,退潮期,market_cycle=退潮；cycle进入退潮
20260625,002536,SKIP,0.0,82.98,退潮期,market_cycle=退潮；cycle进入退潮
20260625,688048,SKIP,0.0,82.87,退潮期,market_cycle=退潮；cycle进入退潮
20260625,002407,SKIP,0.0,82.75,退潮期,market_cycle=退潮；cycle进入退潮
20260625,300209,SKIP,0.0,82.74,退潮期,market_cycle=退潮；cycle进入退潮
20260625,688037,SKIP,0.0,82.63,退潮期,market_cycle=退潮；cycle进入退潮
20260625,600703,SKIP,0.0,82.46,退潮期,market_cycle=退潮；cycle进入退潮
20260625,002428,SKIP,0.0,82.44,退潮期,market_cycle=退潮；cycle进入退潮
20260625,601869,SKIP,0.0,82.42,退潮期,market_cycle=退潮；cycle进入退潮
20260625,300054,SKIP,0.0,82.27,退潮期,market_cycle=退潮；cycle进入退潮
20260625,600172,SKIP,0.0,82.12,退潮期,market_cycle=退潮；cycle进入退潮
20260625,002281,SKIP,0.0,82.07,退潮期,market_cycle=退潮；cycle进入退潮
20260625,300083,SKIP,0.0,81.87,退潮期,market_cycle=退潮；cycle进入退潮
20260625,300037,SKIP,0.0,81.68,退潮期,market_cycle=退潮；cycle进入退潮
