date,code,name,momentum_score,trend_score,combined_score,is_leader,leader_rank,leader_strength_score,breakout_strength,continuation_score,acceleration_score,pool_type,risk_level,risk_reason
20260623,600522,中天科技,89.57,92.37,91.25,True,1.0,86.98,100.0,59.73,43.42,A类：龙头进攻池,2.67,未触发主要风险
20260623,601869,长飞光纤,89.57,89.33,89.47,True,2.0,85.35,100.0,52.05,37.67,A类：龙头进攻池,3.73,未触发主要风险
20260623,301013,利和兴,83.08,94.66,90.03,False,,87.54,100.0,39.59,70.27,B类：趋势持仓池,1.87,未触发主要风险
20260623,300223,北京君正,86.65,88.16,87.56,False,,86.21,100.0,67.4,63.56,B类：趋势持仓池,4.14,未触发主要风险
20260623,688347,华虹宏力,84.39,90.58,88.1,False,,85.46,100.0,56.85,57.81,B类：趋势持仓池,3.3,未触发主要风险
20260623,603773,沃格光电,89.34,88.81,89.13,False,,84.98,100.0,34.79,36.71,B类：趋势持仓池,3.92,未触发主要风险
20260623,600703,三安光电,92.61,83.26,88.87,False,,84.57,100.0,77.95,32.88,未分层,5.86,未触发主要风险
20260623,600176,中国巨石,76.79,90.11,84.78,False,,84.46,100.0,36.71,83.7,B类：趋势持仓池,3.46,未触发主要风险
20260623,002428,云南锗业,77.24,86.32,82.69,False,,84.2,100.0,71.23,92.33,B类：趋势持仓池,4.79,未触发主要风险
20260623,603663,三祥新材,84.13,87.56,86.19,False,,84.19,100.0,33.84,56.85,B类：趋势持仓池,4.35,未触发主要风险
20260623,300346,南大光电,87.35,80.93,84.78,False,,84.12,100.0,97.12,61.64,未分层,6.67,未触发主要风险
20260623,600460,士兰微,89.98,83.87,87.54,False,,84.02,100.0,44.38,38.63,未分层,5.65,未触发主要风险
20260623,300373,扬杰科技,84.57,86.52,85.74,False,,83.54,100.0,50.14,52.05,B类：趋势持仓池,4.72,未触发主要风险
20260623,600498,烽火通信,78.27,86.08,82.96,False,,83.53,100.0,40.55,81.78,B类：趋势持仓池,4.87,未触发主要风险
20260623,300179,四方达,93.11,81.14,88.32,False,,83.23,91.4,46.3,31.92,未分层,8.75,未触发主要风险
20260623,688143,长盈通,80.16,92.29,87.44,False,,82.91,100.0,53.97,45.34,B类：趋势持仓池,2.7,未触发主要风险
20260623,600707,彩虹股份,89.36,83.66,87.08,False,,82.87,100.0,94.25,30.96,未分层,5.72,未触发主要风险
20260623,688082,盛美上海,67.68,95.14,84.16,False,,82.22,100.0,35.75,84.66,B类：趋势持仓池,1.7,未触发主要风险
20260623,688396,华润微,78.28,86.99,83.51,False,,82.22,100.0,80.82,65.48,B类：趋势持仓池,4.55,未触发主要风险
20260623,600487,亨通光电,87.5,86.15,86.96,False,,82.11,76.0,51.1,49.18,B类：趋势持仓池,10.85,未触发主要风险
20260623,300835,龙磁科技,80.89,85.06,83.39,False,,81.76,100.0,66.44,55.89,B类：趋势持仓池,5.23,未触发主要风险
20260623,600552,凯盛科技,87.79,81.81,85.4,False,,81.66,98.4,82.74,33.84,未分层,6.77,未触发主要风险
20260623,600909,华安证券,83.35,84.07,83.78,False,,81.66,100.0,43.42,47.26,未分层,5.58,未触发主要风险
20260623,688498,源杰科技,85.34,91.39,88.97,False,,81.6,69.6,41.51,42.47,B类：趋势持仓池,10.61,未触发主要风险
20260623,002747,埃斯顿,86.97,79.88,84.13,False,,81.6,100.0,90.41,41.51,未分层,7.04,未触发主要风险
20260623,600105,永鼎股份,86.21,86.24,86.23,False,,81.48,80.6,78.9,44.38,B类：趋势持仓池,9.67,未触发主要风险
20260623,000811,冰轮环境,83.74,80.92,82.61,False,,81.45,100.0,45.34,53.01,未分层,6.68,未触发主要风险
20260623,000070,特发信息,85.16,83.01,84.3,False,,80.96,100.0,53.01,34.79,未分层,5.95,未触发主要风险
20260623,600961,株冶集团,79.89,77.77,79.04,False,,80.11,100.0,65.48,68.36,D类：风险剔除池,22.78,综合分低于池内中位数，归入相对弱势
20260623,002281,光迅科技,82.52,85.84,84.51,False,,79.61,65.6,85.62,58.77,B类：趋势持仓池,13.56,未触发主要风险
20260623,603938,三孚股份,78.35,83.69,81.55,False,,79.56,100.0,69.32,50.14,未分层,5.71,未触发主要风险
20260623,002655,共达电声,86.46,75.02,81.88,False,,79.14,98.3,61.64,35.75,未分层,9.17,未触发主要风险
20260623,300623,捷捷微电,76.16,78.63,77.64,False,,79.11,100.0,76.99,73.15,D类：风险剔除池,22.48,综合分低于池内中位数，归入相对弱势
20260623,603588,高能环境,82.05,79.55,81.05,False,,78.94,100.0,48.22,40.55,未分层,7.16,未触发主要风险
20260623,688403,汇成股份,65.47,88.84,79.49,False,,78.83,100.0,64.52,82.74,D类：风险剔除池,18.91,综合分低于池内中位数，归入相对弱势
20260623,605111,新洁能,73.84,81.11,78.2,False,,78.74,100.0,62.6,71.23,D类：风险剔除池,21.61,综合分低于池内中位数，归入相对弱势
20260623,002167,东方锆业,74.1,85.48,80.93,False,,78.66,100.0,38.63,53.97,B类：趋势持仓池,5.08,未触发主要风险
20260623,301611,珂玛科技,73.76,79.88,77.43,False,,78.66,100.0,91.37,75.07,D类：风险剔除池,22.04,综合分低于池内中位数，归入相对弱势
20260623,600869,远东股份,68.38,83.6,77.51,False,,78.5,98.1,42.47,86.58,D类：风险剔除池,21.22,综合分低于池内中位数，归入相对弱势
20260623,688249,晶合集成,77.45,82.09,80.23,False,,78.4,100.0,54.93,48.22,D类：风险剔除池,21.27,综合分低于池内中位数，归入相对弱势
20260623,603738,泰晶科技,65.37,84.41,76.79,False,,78.38,100.0,63.56,94.25,D类：风险剔除池,20.46,综合分低于池内中位数，归入相对弱势
20260623,300497,富祥股份,77.47,82.3,80.37,False,,78.3,100.0,47.26,46.3,D类：风险剔除池,21.2,综合分低于池内中位数，归入相对弱势
20260623,300037,新宙邦,74.47,86.67,81.79,False,,77.56,77.4,88.49,59.73,B类：趋势持仓池,10.32,未触发主要风险
20260623,600641,先导基电,66.56,82.12,75.9,False,,77.45,100.0,60.68,87.53,D类：风险剔除池,21.26,综合分低于池内中位数，归入相对弱势
20260623,300433,蓝思科技,79.18,85.45,82.94,False,,77.21,54.1,72.19,62.6,B类：趋势持仓池,16.57,未触发主要风险
20260623,688525,佰维存储,75.06,84.72,80.86,False,,77.1,56.8,76.03,79.86,未分层,16.15,未触发主要风险
20260623,002056,横店东磁,78.59,80.97,80.02,False,,77.08,94.2,96.16,39.59,D类：风险剔除池,23.11,综合分低于池内中位数，归入相对弱势
20260623,600226,亨通股份,70.9,82.91,78.11,False,,76.69,79.7,37.67,77.95,D类：风险剔除池,26.06,综合分低于池内中位数，归入相对弱势
20260623,300054,鼎龙股份,65.13,81.11,74.72,False,,76.35,90.4,81.78,96.16,D类：风险剔除池,24.01,综合分低于池内中位数，归入相对弱势
20260623,688052,纳芯微,62.82,87.07,77.37,False,,75.68,100.0,83.7,69.32,D类：风险剔除池,19.53,综合分低于池内中位数，归入相对弱势
20260623,603618,杭电股份,78.68,83.74,81.72,False,,75.47,56.4,55.89,51.1,未分层,16.59,未触发主要风险
20260623,601066,中信建投,72.57,74.23,73.57,False,,75.38,100.0,93.29,67.4,D类：风险剔除池,24.02,综合分低于池内中位数，归入相对弱势
20260623,002971,和远气体,58.25,84.62,74.07,False,,75.35,100.0,30.96,95.21,D类：风险剔除池,20.38,综合分低于池内中位数，归入相对弱势
20260623,300661,圣邦股份,62.97,85.04,76.21,False,,75.32,100.0,87.53,72.19,D类：风险剔除池,20.24,综合分低于池内中位数，归入相对弱势
20260623,000510,新金路,64.63,79.5,73.55,False,,75.08,91.3,49.18,90.41,D类：风险剔除池,24.35,综合分低于池内中位数，归入相对弱势
20260623,000776,广发证券,70.84,70.7,70.78,False,,74.33,100.0,92.33,76.99,D类：风险剔除池,25.26,综合分低于池内中位数，归入相对弱势
20260623,300548,长芯博创,70.01,79.0,75.4,False,,74.07,57.8,95.21,91.37,D类：风险剔除池,32.9,综合分低于池内中位数，归入相对弱势
20260623,300489,光智科技,54.34,90.25,75.89,False,,73.83,79.8,32.88,98.08,D类：风险剔除池,23.46,综合分低于池内中位数，归入相对弱势
20260623,688777,中控技术,65.66,87.25,78.61,False,,73.8,63.1,84.66,74.11,D类：风险剔除池,28.69,综合分低于池内中位数，归入相对弱势
