date,stock_code,action,position_ratio,score,cycle,reason
20260624,300346,SKIP,0.0,86.7,退潮期,market_cycle=退潮；cycle进入退潮
20260624,600707,SKIP,0.0,86.01,退潮期,market_cycle=退潮；cycle进入退潮
20260624,600522,SKIP,0.0,85.8,退潮期,market_cycle=退潮；cycle进入退潮
20260624,300223,SKIP,0.0,85.61,退潮期,market_cycle=退潮；cycle进入退潮
20260624,600703,SKIP,0.0,85.36,退潮期,market_cycle=退潮；cycle进入退潮
20260624,002281,SKIP,0.0,84.7,退潮期,market_cycle=退潮；cycle进入退潮
20260624,600105,SKIP,0.0,84.65,退潮期,market_cycle=退潮；cycle进入退潮
20260624,002747,SKIP,0.0,84.35,退潮期,market_cycle=退潮；cycle进入退潮
20260624,002428,SKIP,0.0,84.19,退潮期,market_cycle=退潮；cycle进入退潮
20260624,688347,SKIP,0.0,84.17,退潮期,market_cycle=退潮；cycle进入退潮
20260624,688396,SKIP,0.0,84.12,退潮期,market_cycle=退潮；cycle进入退潮
20260624,301013,SKIP,0.0,83.92,退潮期,market_cycle=退潮；cycle进入退潮
20260624,600552,SKIP,0.0,83.9,退潮期,market_cycle=退潮；cycle进入退潮
20260624,601869,SKIP,0.0,83.73,退潮期,market_cycle=退潮；cycle进入退潮
20260624,300037,SKIP,0.0,82.94,退潮期,market_cycle=退潮；cycle进入退潮
20260624,002056,SKIP,0.0,82.37,退潮期,market_cycle=退潮；cycle进入退潮
20260624,600487,SKIP,0.0,82.35,退潮期,market_cycle=退潮；cycle进入退潮
20260624,688143,SKIP,0.0,82.29,退潮期,market_cycle=退潮；cycle进入退潮
20260624,300835,SKIP,0.0,82.28,退潮期,market_cycle=退潮；cycle进入退潮
20260624,301611,SKIP,0.0,82.22,退潮期,market_cycle=退潮；cycle进入退潮
20260624,300433,SKIP,0.0,82.17,退潮期,market_cycle=退潮；cycle进入退潮
20260624,688525,SKIP,0.0,82.12,退潮期,market_cycle=退潮；cycle进入退潮
20260624,300373,SKIP,0.0,81.95,退潮期,market_cycle=退潮；cycle进入退潮
20260624,688498,SKIP,0.0,81.73,退潮期,market_cycle=退潮；cycle进入退潮
