date,code,name,momentum_score,trend_score,combined_score,rank,reason
20260625,301013,利和兴,90.9,95.54,93.68,1,游资:成交80.4/加速97.1/新高90.4/波换97.9; 机构:均线96.9/回撤90.4/持续96.8/稳定100.0
20260625,688525,佰维存储,89.35,92.15,91.03,2,游资:成交99.0/加速88.7/新高90.4/波换74.8; 机构:均线95.7/回撤90.4/持续96.8/稳定84.9
20260625,600522,中天科技,88.05,92.94,90.98,3,游资:成交98.6/加速91.6/新高90.4/波换64.6; 机构:均线92.7/回撤90.4/持续96.8/稳定93.3
20260625,603986,兆易创新,86.22,91.99,89.68,4,游资:成交99.7/加速79.7/新高90.4/波换71.6; 机构:均线96.8/回撤90.4/持续96.8/稳定82.5
20260625,688347,华虹宏力,83.41,92.29,88.74,5,游资:成交91.3/加速82.7/新高90.4/波换65.7; 机构:均线92.0/回撤90.4/持续92.2/稳定95.7
20260625,300398,飞凯材料,89.76,86.34,88.39,6,游资:成交87.0/加速93.4/新高90.4/波换87.8; 机构:均线89.8/回撤90.4/持续96.8/稳定64.7
20260625,002491,通鼎互联,89.83,86.1,88.34,7,游资:成交90.9/加速90.1/新高90.4/波换87.3; 机构:均线96.2/回撤90.4/持续90.0/稳定60.6
20260625,000021,深科技,89.03,86.59,88.05,8,游资:成交95.0/加速90.4/新高90.4/波换76.8; 机构:均线88.3/回撤90.4/持续86.5/稳定78.5
20260625,001309,德明利,89.0,85.13,87.45,9,游资:成交97.6/加速89.5/新高90.4/波换73.9; 机构:均线91.9/回撤90.4/持续86.5/稳定65.8
20260625,600487,亨通光电,85.66,88.01,87.07,10,游资:成交98.5/加速85.9/新高90.4/波换61.4; 机构:均线79.0/回撤90.4/持续94.5/稳定91.5
20260625,688498,源杰科技,80.99,90.95,86.97,11,游资:成交90.6/加速79.6/新高90.4/波换59.2; 机构:均线85.6/回撤90.4/持续96.8/稳定94.0
20260625,688521,芯原股份,86.54,86.87,86.74,12,游资:成交94.3/加速93.2/新高90.4/波换61.2; 机构:均线93.6/回撤90.4/持续81.6/稳定76.8
20260625,600584,长电科技,88.4,84.16,86.7,13,游资:成交95.5/加速92.9/新高90.4/波换69.0; 机构:均线89.4/回撤90.4/持续74.5/稳定76.7
20260625,002428,云南锗业,85.48,87.37,86.61,14,游资:成交95.4/加速72.8/新高90.4/波换84.8; 机构:均线94.4/回撤90.4/持续96.8/稳定62.9
20260625,600105,永鼎股份,76.21,91.38,85.31,15,游资:成交93.6/加速54.5/新高90.4/波换68.6; 机构:均线89.1/回撤90.4/持续92.2/稳定95.5
20260625,688268,华特气体,86.43,83.29,85.17,16,游资:成交70.4/加速99.4/新高90.4/波换87.1; 机构:均线90.9/回撤90.4/持续81.6/稳定62.9
20260625,000725,京东方Ａ,83.67,85.04,84.49,17,游资:成交99.6/加速71.2/新高90.4/波换71.8; 机构:均线77.8/回撤90.4/持续86.5/稳定86.4
20260625,603083,剑桥科技,85.83,82.46,84.48,18,游资:成交92.2/加速89.0/新高78.3/波换79.2; 机构:均线86.4/回撤78.3/持续81.6/稳定83.6
20260625,688143,长盈通,74.66,90.93,84.42,19,游资:成交41.2/加速99.2/新高90.4/波换72.4; 机构:均线89.5/回撤90.4/持续90.0/稳定94.8
20260625,600703,三安光电,89.51,76.54,84.32,20,游资:成交97.1/加速92.3/新高78.6/波换84.8; 机构:均线86.3/回撤78.6/持续86.5/稳定48.8
20260625,300285,国瓷材料,79.04,87.36,84.03,21,游资:成交96.5/加速51.1/新高79.0/波换94.8; 机构:均线97.1/回撤79.0/持续92.2/稳定80.6
20260625,601869,长飞光纤,84.44,82.2,83.54,22,游资:成交94.1/加速96.9/新高77.4/波换58.3; 机构:均线82.0/回撤77.4/持续90.0/稳定82.0
20260625,301308,江波龙,84.9,81.46,83.52,23,游资:成交97.8/加速79.9/新高90.4/波换67.7; 机构:均线80.0/回撤90.4/持续81.6/稳定70.1
20260625,300835,龙磁科技,84.18,82.44,83.48,24,游资:成交61.0/加速99.0/新高90.4/波换90.5; 机构:均线84.9/回撤90.4/持续81.6/稳定67.7
20260625,002409,雅克科技,80.75,85.27,83.46,25,游资:成交90.4/加速66.0/新高90.4/波换78.8; 机构:均线94.8/回撤90.4/持续96.8/稳定51.8
20260625,300604,长川科技,78.17,86.73,83.31,26,游资:成交93.9/加速68.1/新高90.4/波换57.5; 机构:均线90.6/回撤90.4/持续92.2/稳定70.0
20260625,603005,晶方科技,86.11,78.82,83.19,27,游资:成交89.4/加速83.9/新高90.4/波换80.2; 机构:均线62.0/回撤90.4/持续86.5/稳定79.0
20260625,688507,索辰科技,81.16,84.45,83.13,28,游资:成交54.7/加速92.5/新高90.4/波换94.7; 机构:均线83.7/回撤90.4/持续74.5/稳定86.7
20260625,688361,中科飞测,69.34,91.37,82.56,29,游资:成交64.4/加速74.4/新高90.4/波换48.2; 机构:均线96.5/回撤90.4/持续86.5/稳定90.0
20260625,600176,中国巨石,71.95,89.58,82.53,30,游资:成交96.6/加速40.1/新高90.4/波换64.3; 机构:均线99.3/回撤90.4/持续98.3/稳定65.1
20260625,300174,元力股份,74.34,87.97,82.52,31,游资:成交47.9/加速85.2/新高90.4/波换81.7; 机构:均线79.6/回撤90.4/持续92.2/稳定92.7
20260625,301319,唯特偶,70.36,90.51,82.45,32,游资:成交63.8/加速55.1/新高90.4/波换83.0; 机构:均线96.1/回撤90.4/持续96.8/稳定76.1
20260625,300567,精测电子,76.41,86.28,82.33,33,游资:成交70.0/加速82.4/新高90.4/波换63.1; 机构:均线87.7/回撤90.4/持续81.6/稳定82.7
20260625,688048,长光华芯,83.79,80.01,82.28,34,游资:成交88.3/加速89.1/新高76.1/波换76.8; 机构:均线72.2/回撤76.1/持续81.6/稳定95.9
20260625,300857,协创数据,81.21,82.58,82.03,35,游资:成交91.2/加速77.8/新高90.4/波换62.2; 机构:均线93.4/回撤90.4/持续81.6/稳定55.6
20260625,002371,北方华创,73.68,87.43,81.93,36,游资:成交93.4/加速67.4/新高90.4/波换36.7; 机构:均线75.4/回撤90.4/持续90.0/稳定98.5
20260625,002046,国机精工,85.25,76.49,81.75,37,游资:成交78.3/加速94.0/新高90.4/波换77.4; 机构:均线82.8/回撤90.4/持续74.5/稳定48.2
20260625,300489,光智科技,66.17,91.41,81.31,38,游资:成交67.3/加速39.4/新高90.4/波换80.5; 机构:均线99.9/回撤90.4/持续98.8/稳定72.9
20260625,688082,盛美上海,62.22,94.01,81.29,39,游资:成交72.1/加速34.3/新高90.4/波换61.2; 机构:均线95.4/回撤90.4/持续99.5/稳定91.9
20260625,300475,香农芯创,76.1,84.48,81.13,40,游资:成交97.3/加速38.8/新高90.4/波换85.9; 机构:均线97.8/回撤90.4/持续92.2/稳定48.0
20260625,000962,东方钽业,81.22,80.68,81.0,41,游资:成交70.2/加速90.9/新高90.4/波换74.0; 机构:均线94.3/回撤90.4/持续81.6/稳定44.8
20260625,000636,风华高科,75.56,84.45,80.89,42,游资:成交94.7/加速41.7/新高90.4/波换82.9; 机构:均线82.1/回撤90.4/持续63.7/稳定99.9
