code,name,price,pct_chg,amount,high,low,open,time
001399,N惠科,48.99,384.091,9397777842.0,76.0,31.5,31.6,13:02:12
301349,信德新材,75.6,20.0,1088926027.0,75.6,63.04,63.04,13:02:09
300162,雷曼光电,12.13,19.98,1180218268.0,12.13,9.83,10.05,13:02:15
300260,新莱应材,95.01,17.137,3720523101.0,97.33,81.6,81.8,13:02:12
688584,上海合晶,33.7,15.371,1053727810.0,34.8,29.5,29.5,13:02:18
688596,正帆科技,53.37,13.917,1878764006.0,55.22,45.5,46.0,13:02:15
300088,长信科技,11.7,13.703,5996243406.0,12.35,10.46,10.5,13:02:18
300382,斯莱克,21.23,11.444,1040590192.0,21.9,18.92,19.05,13:02:21
688818,电科蓝天,70.87,11.431,1565653485.0,72.28,61.75,63.0,13:02:11
301236,软通动力,41.42,11.374,2409758098.0,43.36,37.51,38.0,13:02:21
688409,富创精密,255.0,11.354,1881671240.0,259.58,219.5,220.92,13:02:10
301611,珂玛科技,167.0,11.022,2301604985.0,167.77,148.01,148.01,13:02:18
300243,瑞丰高材,22.97,10.806,1085639717.0,23.98,19.89,20.62,13:02:12
300762,上海瀚讯,44.68,10.485,2522033749.0,44.89,39.32,39.6,13:02:12
601016,节能风电,3.94,10.056,1028783763.0,3.94,3.64,3.65,13:02:08
002129,TCL中环,11.19,10.029,5547936079.0,11.19,10.17,10.23,13:02:12
000823,超声电子,28.46,10.012,2924091986.0,28.46,27.23,28.46,13:02:15
002559,亚威股份,12.31,10.009,1270901352.0,12.31,11.03,11.07,13:02:18
002965,祥鑫科技,51.88,10.008,1138122934.0,51.88,48.52,48.52,13:02:12
001270,铖昌科技,139.43,10.004,1966902587.0,139.43,121.51,124.24,13:02:15
