date,stock_code,name,original_action,aligned_action,signal_filled_probability,signal_quality_score,entry_price_slippage,adjusted_entry_price,signal_decay_score,slippage_risk,risk_level,market_cycle,alignment_reason
20260624,300346,南大光电,SKIP,SKIP,HIGH,47.0,0.3,71.64,0.0,LOW,14.16,退潮期,market_cycle=退潮；原始订单为SKIP
20260624,600707,彩虹股份,SKIP,SKIP,LOW,0.0,0.3,13.68,0.0,LOW,14.16,退潮期,可成交性LOW；market_cycle=退潮；原始订单为SKIP
20260624,600522,中天科技,SKIP,SKIP,HIGH,35.0,1.5,62.66,0.0,HIGH,14.16,退潮期,market_cycle=退潮；原始订单为SKIP
20260624,300223,北京君正,SKIP,SKIP,HIGH,40.83,0.8,195.55,2.59,MEDIUM,14.16,退潮期,market_cycle=退潮；原始订单为SKIP
20260624,600703,三安光电,SKIP,SKIP,HIGH,47.0,0.3,19.89,0.0,LOW,14.16,退潮期,market_cycle=退潮；原始订单为SKIP
20260624,002281,光迅科技,SKIP,SKIP,HIGH,33.01,0.8,269.04,19.98,MEDIUM,14.16,退潮期,market_cycle=退潮；原始订单为SKIP
20260624,600105,永鼎股份,SKIP,SKIP,HIGH,39.04,0.8,62.99,6.57,MEDIUM,14.16,退潮期,market_cycle=退潮；原始订单为SKIP
20260624,002747,埃斯顿,SKIP,SKIP,HIGH,47.0,0.3,38.36,0.0,LOW,14.16,退潮期,market_cycle=退潮；原始订单为SKIP
20260624,002428,云南锗业,SKIP,SKIP,HIGH,42.0,0.8,112.8,0.0,MEDIUM,14.16,退潮期,market_cycle=退潮；原始订单为SKIP
20260624,688347,华虹宏力,SKIP,SKIP,HIGH,39.7,0.8,294.42,5.11,MEDIUM,14.16,退潮期,market_cycle=退潮；原始订单为SKIP
20260624,688396,华润微,SKIP,SKIP,HIGH,38.32,0.8,81.45,8.18,MEDIUM,14.16,退潮期,market_cycle=退潮；原始订单为SKIP
20260624,301013,利和兴,SKIP,SKIP,HIGH,39.27,0.8,70.88,6.07,MEDIUM,14.16,退潮期,market_cycle=退潮；原始订单为SKIP
20260624,600552,凯盛科技,SKIP,SKIP,HIGH,46.86,0.3,25.69,0.32,LOW,14.16,退潮期,market_cycle=退潮；原始订单为SKIP
20260624,601869,长飞光纤,SKIP,SKIP,LOW,0.0,1.5,579.14,0.0,HIGH,14.16,退潮期,可成交性LOW；market_cycle=退潮；原始订单为SKIP
20260624,300037,新宙邦,SKIP,SKIP,HIGH,36.09,0.8,88.7,13.13,MEDIUM,14.16,退潮期,market_cycle=退潮；原始订单为SKIP
